Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides sample_1,Peptides sample_10,Peptides sample_11,Peptides sample_12,Peptides sample_13,Peptides sample_14,Peptides sample_2,Peptides sample_3,Peptides sample_4,Peptides sample_5,Peptides sample_6,Peptides sample_7,Peptides sample_8,Peptides sample_9,Razor + unique peptides sample_1,Razor + unique peptides sample_10,Razor + unique peptides sample_11,Razor + unique peptides sample_12,Razor + unique peptides sample_13,Razor + unique peptides sample_14,Razor + unique peptides sample_2,Razor + unique peptides sample_3,Razor + unique peptides sample_4,Razor + unique peptides sample_5,Razor + unique peptides sample_6,Razor + unique peptides sample_7,Razor + unique peptides sample_8,Razor + unique peptides sample_9,Unique peptides sample_1,Unique peptides sample_10,Unique peptides sample_11,Unique peptides sample_12,Unique peptides sample_13,Unique peptides sample_14,Unique peptides sample_2,Unique peptides sample_3,Unique peptides sample_4,Unique peptides sample_5,Unique peptides sample_6,Unique peptides sample_7,Unique peptides sample_8,Unique peptides sample_9,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Experiment sample_1,Experiment sample_10,Experiment sample_11,Experiment sample_12,Experiment sample_13,Experiment sample_14,Experiment sample_2,Experiment sample_3,Experiment sample_4,Experiment sample_5,Experiment sample_6,Experiment sample_7,Experiment sample_8,Experiment sample_9,PEP,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L sample_1,Ratio H/L normalized sample_1,Ratio H/L variability [%] sample_1,Ratio H/L count sample_1,Ratio H/L sample_10,Ratio H/L normalized sample_10,Ratio H/L variability [%] sample_10,Ratio H/L count sample_10,Ratio H/L sample_11,Ratio H/L normalized sample_11,Ratio H/L variability [%] sample_11,Ratio H/L count sample_11,Ratio H/L sample_12,Ratio H/L normalized sample_12,Ratio H/L variability [%] sample_12,Ratio H/L count sample_12,Ratio H/L sample_13,Ratio H/L normalized sample_13,Ratio H/L variability [%] sample_13,Ratio H/L count sample_13,Ratio H/L sample_14,Ratio H/L normalized sample_14,Ratio H/L variability [%] sample_14,Ratio H/L count sample_14,Ratio H/L sample_2,Ratio H/L normalized sample_2,Ratio H/L variability [%] sample_2,Ratio H/L count sample_2,Ratio H/L sample_3,Ratio H/L normalized sample_3,Ratio H/L variability [%] sample_3,Ratio H/L count sample_3,Ratio H/L sample_4,Ratio H/L normalized sample_4,Ratio H/L variability [%] sample_4,Ratio H/L count sample_4,Ratio H/L sample_5,Ratio H/L normalized sample_5,Ratio H/L variability [%] sample_5,Ratio H/L count sample_5,Ratio H/L sample_6,Ratio H/L normalized sample_6,Ratio H/L variability [%] sample_6,Ratio H/L count sample_6,Ratio H/L sample_7,Ratio H/L normalized sample_7,Ratio H/L variability [%] sample_7,Ratio H/L count sample_7,Ratio H/L sample_8,Ratio H/L normalized sample_8,Ratio H/L variability [%] sample_8,Ratio H/L count sample_8,Ratio H/L sample_9,Ratio H/L normalized sample_9,Ratio H/L variability [%] sample_9,Ratio H/L count sample_9,Sequence coverage sample_1 [%],Sequence coverage sample_10 [%],Sequence coverage sample_11 [%],Sequence coverage sample_12 [%],Sequence coverage sample_13 [%],Sequence coverage sample_14 [%],Sequence coverage sample_2 [%],Sequence coverage sample_3 [%],Sequence coverage sample_4 [%],Sequence coverage sample_5 [%],Sequence coverage sample_6 [%],Sequence coverage sample_7 [%],Sequence coverage sample_8 [%],Sequence coverage sample_9 [%],Intensity,Intensity L,Intensity H,Intensity sample_1,Intensity L sample_1,Intensity H sample_1,Intensity sample_10,Intensity L sample_10,Intensity H sample_10,Intensity sample_11,Intensity L sample_11,Intensity H sample_11,Intensity sample_12,Intensity L sample_12,Intensity H sample_12,Intensity sample_13,Intensity L sample_13,Intensity H sample_13,Intensity sample_14,Intensity L sample_14,Intensity H sample_14,Intensity sample_2,Intensity L sample_2,Intensity H sample_2,Intensity sample_3,Intensity L sample_3,Intensity H sample_3,Intensity sample_4,Intensity L sample_4,Intensity H sample_4,Intensity sample_5,Intensity L sample_5,Intensity H sample_5,Intensity sample_6,Intensity L sample_6,Intensity H sample_6,Intensity sample_7,Intensity L sample_7,Intensity H sample_7,Intensity sample_8,Intensity L sample_8,Intensity H sample_8,Intensity sample_9,Intensity L sample_9,Intensity H sample_9
P38075,P38075,9,9,9,Pyridoxamine 5-phosphate oxidase,PDX3,>sp|P38075|PDX3_YEAST Pyridoxamine 5-phosphate oxidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDX3 PE=1 SV=1,1,9,9,9,9,8,8,9,7,7,8,9,8,8,9,9,9,7,9,8,8,9,7,7,8,9,8,8,9,9,9,7,9,8,8,9,7,7,8,9,8,8,9,9,9,7,64.5,64.5,64.5,26.908,228,228,1,221,18,20,17,19,13,13,14,18,14,18,15,17,13,12,4.79E-201,1.1527,1.2333,27.606,203,1.1186,1.2126,23.378,16,1.3094,1.2466,21.718,20,1.0332,1.2814,22.452,15,1.3329,1.2315,32.393,17,1.3908,1.2804,18.42,12,0.8102,0.777,12.366,12,1.2174,1.2178,16.786,13,1.1633,1.2145,23.639,18,1.2253,1.1858,37.812,12,1.2132,1.1233,21.621,15,1.42,1.3515,36.825,12,1.0924,1.3295,16.881,16,1.4967,1.3755,28.657,13,1.2249,1.2237,40.939,12,64.5,57,64.5,64.5,53.9,50.9,61.4,64.5,61.4,64.5,64.5,64.5,64.5,55.7,14345000000,7191400000,7153700000,1369300000,684720000,684600000,618350000,276940000,341420000,1357000000,699400000,657620000,1154600000,562880000,591720000,439190000,184800000,254390000,1546200000,875870000,670310000,515580000,240290000,275290000,2202300000,1131700000,1070600000,763420000,414770000,348660000,1096900000,527560000,569340000,1369900000,644040000,725820000,763340000,358400000,404940000,477710000,224750000,252960000,671430000,365390000,306040000
P38077,P38077,11,11,11,"ATP synthase subunit gamma, mitochondrial",ATP3,">sp|P38077|ATPG_YEAST ATP synthase subunit gamma, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP3 PE=1 SV=1",1,11,11,11,8,8,7,7,8,9,9,11,8,8,7,10,8,7,8,8,7,7,8,9,9,11,8,8,7,10,8,7,8,8,7,7,8,9,9,11,8,8,7,10,8,7,40.5,40.5,40.5,34.35,311,311,1,181,16,12,12,13,11,17,13,20,11,11,10,13,11,11,3.46E-192,0.30909,0.31155,35.54,170,0.29874,0.30978,14.579,15,0.42339,0.37225,28.46,11,0.22788,0.2899,15.329,11,0.28708,0.27568,52.116,12,0.24612,0.22794,48.188,11,0.52537,0.54508,16.419,13,0.32737,0.32625,41.191,13,0.29589,0.30037,24.602,19,0.28225,0.2686,38.482,10,0.32496,0.32822,26.641,10,0.30518,0.30091,9.4287,10,0.25525,0.31197,43.85,13,0.32561,0.30377,33.179,11,0.40204,0.3932,13.618,11,32.2,30.9,30.2,26.4,34.4,33.4,34.1,40.5,31.5,29.6,29.6,37.9,29.6,29.6,6182500000,4594600000,1587900000,630960000,485230000,145740000,301990000,216860000,85137000,550380000,444680000,105700000,430970000,348530000,82435000,152000000,115860000,36141000,719990000,469490000,250500000,229920000,160450000,69476000,1397400000,1029100000,368380000,263940000,205430000,58512000,441390000,338720000,102670000,299050000,225760000,73285000,295390000,213570000,81821000,201850000,147170000,54678000,267190000,193770000,73427000
P38080,P38080,3,3,3,Serine/threonine-protein kinase AKL1,AKL1,>sp|P38080|AKL1_YEAST Serine/threonine-protein kinase AKL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AKL1 PE=1 SV=1,1,3,3,3,1,1,0,1,1,1,0,1,1,0,2,2,2,1,1,1,0,1,1,1,0,1,1,0,2,2,2,1,1,1,0,1,1,1,0,1,1,0,2,2,2,1,3.3,3.3,3.3,123.99,1108,1108,1,14,1,1,,1,1,1,,1,1,,2,2,2,1,1.69E-16,1.5705,1.3881,53.042,11,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,0,1.7652,1.7221,64,2,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,1.5,1.1,0,1.1,1.1,1.5,0,1.5,1.1,0,2.6,2.3,2.3,1.5,305060000,65096000,239960000,97437000,18465000,78972000,3887000,1974100,1913000,0,0,0,2889500,1071900,1817600,4135600,1707800,2427800,0,0,0,0,0,0,120400000,18830000,101570000,4825300,2170300,2654900,0,0,0,54338000,15102000,39236000,2586200,1298500,1287600,2747200,1364500,1382700,11812000,3113000,8699000
P38081,P38081,11,11,11,Uncharacterized glycosyl hydrolase YBR056W,,>sp|P38081|YBQ6_YEAST Uncharacterized glycosyl hydrolase YBR056W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR056W PE=1 SV=1,1,11,11,11,11,10,8,8,4,11,7,11,9,10,10,6,9,9,11,10,8,8,4,11,7,11,9,10,10,6,9,9,11,10,8,8,4,11,7,11,9,10,10,6,9,9,32.3,32.3,32.3,57.821,501,501,1,176,19,11,12,12,5,18,9,14,11,15,16,10,11,13,3.03E-185,0.73956,0.7732,70.552,158,0.63107,0.68654,49.521,17,0.54128,0.50996,90.983,10,0.74999,0.99443,26.319,11,1.1451,1.0893,59.272,11,0.98284,0.96954,155.71,5,0.5131,0.50276,82.684,14,0.71245,0.70731,57.004,8,0.65165,0.69073,84.133,13,0.9353,0.95108,13.722,10,0.78201,0.80238,51.782,13,0.89439,0.86749,54.363,13,0.78153,0.96282,65.104,10,0.93426,0.85831,54.982,11,0.47209,0.48025,89.097,12,32.3,28.1,23.6,25.3,10.2,32.3,24,32.3,29.5,32.3,32.3,19.8,29.5,29.9,8765600000,3701700000,5063900000,1013500000,491940000,521520000,446260000,150100000,296160000,289280000,154180000,135090000,396810000,142670000,254140000,81393000,17763000,63630000,2211700000,1074400000,1137300000,255040000,134910000,120120000,1678800000,421720000,1257100000,180780000,94563000,86221000,642580000,252100000,390480000,485900000,222200000,263700000,353570000,182230000,171340000,319470000,151060000,168410000,410540000,211860000,198680000
P38084,P38084,1,1,1,Leu/Val/Ile amino-acid permease,BAP2,>sp|P38084|BAP2_YEAST Leu/Val/Ile amino-acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BAP2 PE=1 SV=2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1.6,1.6,1.6,67.769,609,609,1,10,1,1,1,1,1,2,,,1,,1,,,1,0.00020152,0.29499,0.28354,66.899,9,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,0.73902,0.71281,67.999,2,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,1.6,1.6,1.6,1.6,1.6,1.6,0,0,1.6,0,1.6,0,0,1.6,55652000,40309000,15343000,1011300,1011300,0,6568200,5093900,1474300,11212000,8908900,2303000,4624500,3345100,1279400,2501800,2089700,412090,21771000,13639000,8132100,0,0,0,0,0,0,502360,400740,101620,0,0,0,4557400,3597400,960000,0,0,0,0,0,0,2903700,2223000,680720
P38086,P38086,2,2,2,DNA repair and recombination protein RDH54;DNA topoisomerase;Putative helicase,RDH54,>sp|P38086|RDH54_YEAST DNA repair and recombination protein RDH54 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RDH54 PE=1 SV=4,1,2,2,2,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,3,3,3,107.94,958,958,1,5,1,1,,,,,,1,,1,1,,,,8.65E-05,0.70873,0.69431,61.163,5,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,1.7,1.4,0,0,0,0,0,1.7,0,1.7,1.7,0,0,0,53393000,28744000,24649000,13994000,7955700,6038000,5618300,1934000,3684300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14643000,9439500,5203700,0,0,0,9080800,4648500,4432300,10057000,4766500,5290600,0,0,0,0,0,0,0,0,0
P38087,P38087,3,3,3,"Carrier protein YMC2, mitochondrial",YMC2,">sp|P38087|YMC2_YEAST Carrier protein YMC2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMC2 PE=1 SV=1",1,3,3,3,0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,1,0,0,1,1,0,2,0,0,0,1,0,0,11.6,11.6,11.6,36.555,329,329,1,6,,1,,,1,1,,2,,,,1,,,1.21E-08,2.5286,2.1333,33.96,5,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,3,0,0,5.5,3,0,6.1,0,0,0,3,0,0,18396000,3915900,14480000,0,0,0,277310,95267,182040,0,0,0,0,0,0,15109000,3133700,11976000,761210,272490,488720,0,0,0,1768800,224400,1544400,0,0,0,0,0,0,0,0,0,479410,190040,289370,0,0,0,0,0,0
P38088-2;P38088,P38088-2;P38088,24;24,24;24,24;24,"Glycine--tRNA ligase 1, mitochondrial",GRS1,">sp|P38088-2|SYG_YEAST Isoform Cytoplasmic of Glycine--tRNA ligase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRS1;>sp|P38088|SYG_YEAST Glycine--tRNA ligase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 ",2,24,24,24,18,17,18,18,15,19,20,18,17,19,20,22,20,17,18,17,18,18,15,19,20,18,17,19,20,22,20,17,18,17,18,18,15,19,20,18,17,19,20,22,20,17,46.5,46.5,46.5,75.338,667,667;690,1,407,28,30,29,30,24,31,30,33,23,30,30,34,30,25,0,0.87366,0.87159,23.675,360,0.821,0.88114,17.451,23,1.0533,0.94617,14.403,27,0.68694,0.83334,24.153,24,0.90513,0.83672,41.896,28,0.89215,0.81173,38.829,22,1.1375,1.134,12.461,26,0.89725,0.86293,21.368,29,0.8658,0.89736,12.273,26,0.76024,0.72992,15.572,21,0.84044,0.84403,15.586,27,0.89127,0.8452,10.669,28,0.68921,0.8163,26.78,30,1.0015,0.9353,14.363,28,0.9242,0.86883,18.904,21,40.2,38.4,40.9,40.3,36.6,40.8,40.5,40.3,38.4,40.2,42.3,43.9,41.5,39.1,24127000000,12762000000,11365000000,2444100000,1313700000,1130400000,1185700000,573950000,611780000,1723600000,1014700000,708920000,1369600000,702630000,667020000,649820000,340390000,309440000,2639600000,1263600000,1376000000,1504600000,796030000,708550000,2680800000,1414000000,1266800000,931990000,522690000,409290000,2306400000,1232700000,1073700000,1689200000,874580000,814600000,2502700000,1434900000,1067800000,1707200000,880470000,826720000,791560000,397720000,393840000
P38090,P38090,1,1,1,General amino acid permease AGP2,AGP2,>sp|P38090|AGP2_YEAST General amino acid permease AGP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AGP2 PE=1 SV=1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.7,2.7,2.7,67.261,596,596,1,1,,,,,,,,,,1,,,,,0.000299,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P38112,P38112,5,5,5,ATP-dependent RNA helicase MAK5,MAK5,>sp|P38112|MAK5_YEAST ATP-dependent RNA helicase MAK5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MAK5 PE=1 SV=1,1,5,5,5,2,5,3,2,2,2,2,3,2,3,1,3,2,4,2,5,3,2,2,2,2,3,2,3,1,3,2,4,2,5,3,2,2,2,2,3,2,3,1,3,2,4,11.5,11.5,11.5,87.047,773,773,1,59,4,8,4,3,3,3,4,4,6,3,2,4,3,8,1.13E-84,0.92235,0.89428,18.788,55,0.74791,0.80868,2.0895,4,0.93963,0.86062,25.786,7,0.73145,0.87982,8.7802,4,0.92757,0.90057,2.2934,3,1.0345,1.0533,41.039,3,0.94828,0.94601,10.835,3,0.82518,0.80782,7.067,4,0.74582,0.76748,8.6978,4,0.92235,0.84322,8.2952,5,0.89825,0.89148,7.2883,3,0.97028,0.93844,1.1814,2,0.86637,1.0008,12.801,4,0.99497,0.89428,6.9121,3,0.88919,0.91073,18.883,6,4,11.5,6.9,5.8,5.7,4,5.8,6,5.8,6,3,8.5,5.8,9.6,1867700000,969740000,897980000,94188000,55199000,38988000,107250000,56117000,51129000,154720000,88389000,66334000,75828000,37854000,37974000,70481000,27389000,43092000,66130000,32895000,33235000,299980000,151540000,148440000,148560000,87504000,61054000,167500000,85572000,81926000,72179000,40185000,31994000,86375000,44163000,42212000,214240000,115230000,99005000,208290000,93585000,114710000,102000000,54112000,47891000
P38113,P38113,4,4,4,Alcohol dehydrogenase 5,ADH5,>sp|P38113|ADH5_YEAST Alcohol dehydrogenase 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH5 PE=1 SV=1,1,4,4,4,2,2,3,2,1,4,2,3,2,1,2,1,1,2,2,2,3,2,1,4,2,3,2,1,2,1,1,2,2,2,3,2,1,4,2,3,2,1,2,1,1,2,15.4,15.4,15.4,37.648,351,351,1,32,2,2,3,2,1,5,3,3,2,1,2,1,1,4,5.40E-31,1.1705,1.187,39.027,29,1.1602,1.2519,7.6863,2,0.90574,0.85315,39.775,2,0.95697,1.187,36.364,3,1.5465,1.5025,11.297,2,NaN,NaN,NaN,1,0.54897,0.55569,29.924,4,1.331,1.3262,16.008,2,1.151,1.214,18.957,3,1.2369,1.1843,14.686,2,NaN,NaN,NaN,1,1.5029,1.4384,5.6824,2,NaN,NaN,NaN,1,NaN,NaN,NaN,1,1.1705,1.0674,16.692,3,9.1,9.1,12.8,8.5,4.8,15.4,8.5,12.8,8.5,4.8,8.5,4.8,4.8,8.5,1597000000,726120000,870870000,172870000,73628000,99241000,89764000,44094000,45670000,89523000,39516000,50006000,91056000,34815000,56241000,35788000,12449000,23339000,262280000,166930000,95346000,45515000,18096000,27418000,211040000,88596000,122440000,51153000,23547000,27605000,101130000,39943000,61186000,120840000,43884000,76953000,65319000,29684000,35635000,40793000,12657000,28135000,219930000,98273000,121650000
P38114,P38114,1,1,1,Uncharacterized transcriptional regulatory protein TBS1,TBS1,>sp|P38114|TBS1_YEAST Uncharacterized transcriptional regulatory protein TBS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TBS1 PE=1 SV=1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.6,1.6,1.6,126.9,1094,1094,1,1,,,,,,,,,,,,1,,,0.00019927,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,9549500,7117000,2432500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9549500,7117000,2432500,0,0,0,0,0,0
P38115,P38115,10,10,10,D-arabinose dehydrogenase [NAD(P)+] heavy chain,ARA1,>sp|P38115|ARA1_YEAST D-arabinose dehydrogenase [NAD(P)+] heavy chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARA1 PE=1 SV=1,1,10,10,10,7,5,7,6,7,7,7,8,6,9,7,6,7,7,7,5,7,6,7,7,7,8,6,9,7,6,7,7,7,5,7,6,7,7,7,8,6,9,7,6,7,7,45.9,45.9,45.9,38.883,344,344,1,186,15,12,13,11,13,15,15,12,9,15,15,14,13,14,0,0.5476,0.5809,36.825,151,0.5476,0.53122,38.298,11,0.31842,0.30387,24.428,11,0.53715,0.70018,39.614,11,0.72749,0.68925,8.4617,8,0.73796,0.73226,19.017,11,0.71071,0.69659,32.921,11,0.48339,0.47088,12.258,13,0.47562,0.47758,42.686,9,0.60536,0.5697,10.796,8,0.57365,0.58688,36.421,13,0.62706,0.58694,23.038,12,0.53824,0.61521,7.052,11,0.68405,0.59852,5.8135,10,0.30082,0.29164,13.596,12,32.6,22.1,32.6,29.9,32.8,31.1,28.5,37.8,28.5,37.8,32.6,28.5,32.6,32.6,12720000000,7945100000,4775200000,1099800000,705830000,394000000,479840000,344950000,134890000,645010000,396910000,248100000,548930000,321640000,227280000,248940000,153010000,95931000,637480000,354120000,283360000,1795800000,1179300000,616460000,1000400000,579440000,420950000,649400000,398450000,250950000,920760000,548090000,372670000,1066100000,634470000,431620000,1668800000,1097400000,571490000,1134800000,610350000,524470000,824140000,621130000,203020000
P38116,P38116,2,2,2,ADP-ribosylation factor-like protein 1,ARL1,>sp|P38116|ARL1_YEAST ADP-ribosylation factor-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARL1 PE=1 SV=4,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,2,1,2,1,1,2,1,14.8,14.8,14.8,20.434,183,183,1,24,2,1,2,2,1,2,2,3,1,3,1,1,2,1,1.29E-12,1.0789,1.1165,30.816,21,1.0508,1.1318,1.9293,2,NaN,NaN,NaN,1,0.64711,0.82595,45.342,2,0.98355,0.90978,30.259,2,NaN,NaN,NaN,1,0.82164,0.81972,33.089,2,0.76325,0.73474,76.797,2,NaN,NaN,NaN,1,NaN,NaN,NaN,1,0.87819,0.86033,31.327,2,NaN,NaN,NaN,1,NaN,NaN,NaN,1,1.2408,1.1742,18.054,2,NaN,NaN,NaN,1,14.8,7.7,14.8,14.8,7.7,14.8,14.8,14.8,7.7,14.8,7.7,7.7,14.8,7.7,824550000,390430000,434120000,77369000,34207000,43162000,29549000,14425000,15124000,44770000,25151000,19618000,48134000,21708000,26426000,26310000,13374000,12936000,132980000,68715000,64269000,49472000,23196000,26276000,63763000,32142000,31621000,37120000,18463000,18657000,76748000,33970000,42778000,58388000,24805000,33583000,83969000,38320000,45649000,62601000,26864000,35736000,33374000,15094000,18280000
P38120,P38120,10,10,10,"37S ribosomal protein S9, mitochondrial",MRPS9,">sp|P38120|RT09_YEAST 37S ribosomal protein S9, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPS9 PE=1 SV=1",1,10,10,10,5,5,6,5,3,3,6,5,5,6,7,6,7,4,5,5,6,5,3,3,6,5,5,6,7,6,7,4,5,5,6,5,3,3,6,5,5,6,7,6,7,4,64.7,64.7,64.7,31.925,278,278,1,96,7,5,8,7,3,3,9,8,7,8,8,9,9,5,1.41E-94,0.63593,0.64897,66.457,81,0.58712,0.62408,27.535,7,0.84995,0.79937,102.07,5,0.51328,0.6488,13.142,6,0.63278,0.61324,14.293,6,0.62765,0.62143,133.67,3,1.5487,1.4284,12.326,3,0.61967,0.61541,67.704,8,0.61613,0.64701,105.96,4,0.53697,0.54114,60.347,6,0.65429,0.66888,15.559,6,0.69797,0.68064,96.587,5,0.52062,0.64812,67.062,8,0.6917,0.6618,54.614,9,0.80943,0.76754,102.39,5,29.1,26.6,33.8,24.8,16.2,13.3,39.6,31.7,31.3,33.8,42.4,39.6,44.2,21.9,3772000000,1615700000,2156300000,189910000,106760000,83155000,207540000,54045000,153500000,348930000,232100000,116820000,274850000,164520000,110330000,112160000,28313000,83849000,67591000,27097000,40495000,327090000,137150000,189940000,426210000,120280000,305920000,353580000,201570000,152010000,166000000,91447000,74551000,345830000,87437000,258400000,370580000,162850000,207740000,277150000,132550000,144600000,304630000,69626000,235000000
P38121,P38121,3,3,3,DNA polymerase alpha subunit B,POL12,>sp|P38121|DPOA2_YEAST DNA polymerase alpha subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POL12 PE=1 SV=1,1,3,3,3,1,1,1,1,0,1,0,2,0,1,0,1,0,0,1,1,1,1,0,1,0,2,0,1,0,1,0,0,1,1,1,1,0,1,0,2,0,1,0,1,0,0,3.8,3.8,3.8,78.773,705,705,1,9,1,1,1,1,,1,,2,,1,,1,,,4.39E-07,1.262,1.2957,36.105,6,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,1.1,1.1,1.1,1.7,0,1.1,0,2.1,0,1.1,0,1,0,0,76162000,32151000,44011000,0,0,0,0,0,0,5169700,2302700,2866900,13216000,5903600,7312300,0,0,0,17132000,7283200,9848600,0,0,0,21717000,7860300,13857000,0,0,0,17453000,7728700,9724800,0,0,0,1474000,1072400,401560,0,0,0,0,0,0
